year,artist,song,track_id,acousticness,analysis_url,danceability,duration_ms,energy,error,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
2018,NF,Let You Down,52okn5MNA47tk87PeZJLEL,0.298,https://api.spotify.com/v1/audio-analysis/52okn5MNA47tk87PeZJLEL,0.656,212120,0.721,,52okn5MNA47tk87PeZJLEL,0,5,0.173,-5.665,0,0.122,148.066,4,https://api.spotify.com/v1/tracks/52okn5MNA47tk87PeZJLEL,audio_features,spotify:track:52okn5MNA47tk87PeZJLEL,0.468
2018,The Weeknd & Kendrick Lamar,Pray For Me,7wFybC8jBH3zE139OpCtpG,0.0863,https://api.spotify.com/v1/audio-analysis/7wFybC8jBH3zE139OpCtpG,0.663,202093,0.675,,7wFybC8jBH3zE139OpCtpG,0.00133,2,0.117,-12.159,1,0.0359,101.004,4,https://api.spotify.com/v1/tracks/7wFybC8jBH3zE139OpCtpG,audio_features,spotify:track:7wFybC8jBH3zE139OpCtpG,0.176
2018,Travis Scott,Sicko Mode,2xLMifQCjDGFmkHkpNLD9h,0.00513,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.834,312820,0.73,,2xLMifQCjDGFmkHkpNLD9h,0,8,0.124,-3.714,1,0.222,155.008,4,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,audio_features,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.446
2018,Migos Featuring Drake,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,0.0739,https://api.spotify.com/v1/audio-analysis/6n4U3TlzUGhdSFbUUhTvLP,0.909,276147,0.628,,6n4U3TlzUGhdSFbUUhTvLP,0,2,0.108,-5.456,1,0.201,145.905,4,https://api.spotify.com/v1/tracks/6n4U3TlzUGhdSFbUUhTvLP,audio_features,spotify:track:6n4U3TlzUGhdSFbUUhTvLP,0.406
2018,G-Eazy & Halsey,Him & I,688QpQAwqsLdBR6lr13wK1,0.379,https://api.spotify.com/v1/audio-analysis/688QpQAwqsLdBR6lr13wK1,0.727,212467,0.774,,688QpQAwqsLdBR6lr13wK1,2.47E-06,10,0.114,-5.246,0,0.0588,99.932,4,https://api.spotify.com/v1/tracks/688QpQAwqsLdBR6lr13wK1,audio_features,spotify:track:688QpQAwqsLdBR6lr13wK1,0.211
2018,Migos,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,0.00299,https://api.spotify.com/v1/audio-analysis/2UVbBKQOdFAekPTRsnkzcf,0.815,190288,0.816,,2UVbBKQOdFAekPTRsnkzcf,0,2,0.159,-5.474,1,0.269,181.967,4,https://api.spotify.com/v1/tracks/2UVbBKQOdFAekPTRsnkzcf,audio_features,spotify:track:2UVbBKQOdFAekPTRsnkzcf,0.498
2018,Kendrick Lamar & SZA,All The Stars,0dbTQYW3Ad1FTzIA9t90E8,0.371,https://api.spotify.com/v1/audio-analysis/0dbTQYW3Ad1FTzIA9t90E8,0.855,324189,0.694,,0dbTQYW3Ad1FTzIA9t90E8,0,2,0.109,-4.393,1,0.169,122.078,4,https://api.spotify.com/v1/tracks/0dbTQYW3Ad1FTzIA9t90E8,audio_features,spotify:track:0dbTQYW3Ad1FTzIA9t90E8,0.49
2018,Childish Gambino,This Is America,0b9oOr2ZgvyQu88wzixux9,0.117,https://api.spotify.com/v1/audio-analysis/0b9oOr2ZgvyQu88wzixux9,0.854,225773,0.463,,0b9oOr2ZgvyQu88wzixux9,0,5,0.354,-6.159,1,0.137,120.024,4,https://api.spotify.com/v1/tracks/0b9oOr2ZgvyQu88wzixux9,audio_features,spotify:track:0b9oOr2ZgvyQu88wzixux9,0.549
2018,Drake,Nonstop,0TlLq3lA83rQOYtrqBqSct,0.0164,https://api.spotify.com/v1/audio-analysis/0TlLq3lA83rQOYtrqBqSct,0.912,238614,0.412,,0TlLq3lA83rQOYtrqBqSct,0.013,7,0.104,-8.074,1,0.124,154.983,4,https://api.spotify.com/v1/tracks/0TlLq3lA83rQOYtrqBqSct,audio_features,spotify:track:0TlLq3lA83rQOYtrqBqSct,0.422
2018,Lil Dicky Featuring Chris Brown,Freaky Friday,10Igtw8bSDyyFs7KIsKngZ,0.147,https://api.spotify.com/v1/audio-analysis/10Igtw8bSDyyFs7KIsKngZ,0.755,216632,0.599,,10Igtw8bSDyyFs7KIsKngZ,0,8,0.109,-5.042,1,0.224,133.123,4,https://api.spotify.com/v1/tracks/10Igtw8bSDyyFs7KIsKngZ,audio_features,spotify:track:10Igtw8bSDyyFs7KIsKngZ,0.755
